Order ID,Revenue,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City,Year-Month,Year
B-25372,"$1,016",$172,20,Furniture,Tables,Debit Card,11/16/2020,Heather Jenkins,New York,Buffalo,2020-11,2020
B-25372,"$5,768","$2,059",14,Furniture,Tables,UPI,11/16/2020,Heather Jenkins,New York,Buffalo,2020-11,2020
B-25372,"$1,217",$151,3,Furniture,Tables,Credit Card,11/16/2020,Heather Jenkins,New York,Buffalo,2020-11,2020
B-26026,$953,$93,2,Office Supplies,Paper,Debit Card,12/12/2024,Kelsey Castaneda,Ohio,Cleveland,2024-12,2024
B-26026,$953,$93,2,Office Supplies,Paper,Debit Card,4/6/2023,Katherine Harris,California,Los Angeles,2023-04,2023
B-26026,"$7,355","$1,034",3,Furniture,Sofas,COD,12/12/2024,Kelsey Castaneda,Ohio,Cleveland,2024-12,2024
B-26026,"$7,355","$1,034",3,Furniture,Sofas,COD,4/6/2023,Katherine Harris,California,Los Angeles,2023-04,2023
B-26026,"$1,843",$248,3,Electronics,Phones,Credit Card,12/12/2024,Kelsey Castaneda,Ohio,Cleveland,2024-12,2024
B-26026,"$1,843",$248,3,Electronics,Phones,Credit Card,4/6/2023,Katherine Harris,California,Los Angeles,2023-04,2023
B-26026,"$1,603",$361,10,Office Supplies,Pens,Debit Card,12/12/2024,Kelsey Castaneda,Ohio,Cleveland,2024-12,2024
B-26026,"$1,603",$361,10,Office Supplies,Pens,Debit Card,4/6/2023,Katherine Harris,California,Los Angeles,2023-04,2023
B-25295,"$2,025",$528,1,Office Supplies,Pens,Credit Card,1/28/2024,Paul Rogers,Florida,Miami,2024-01,2024
B-25295,"$6,800",$167,16,Office Supplies,Binders,EMI,1/28/2024,Paul Rogers,Florida,Miami,2024-01,2024
B-26121,"$1,126",$55,1,Furniture,Bookcases,UPI,1/16/2022,Jon Banks,Florida,Tampa,2022-01,2022
B-26121,"$1,126",$55,1,Furniture,Bookcases,UPI,12/16/2022,Michelle Williams,New York,Buffalo,2022-12,2022
B-25560,"$7,533","$3,508",12,Furniture,Tables,UPI,7/13/2023,Andrew Allen,California,San Diego,2023-07,2023
B-25560,"$4,734","$1,178",16,Office Supplies,Binders,Credit Card,7/13/2023,Andrew Allen,California,San Diego,2023-07,2023
B-25560,"$4,074","$1,175",6,Electronics,Electronic Games,Debit Card,7/13/2023,Andrew Allen,California,San Diego,2023-07,2023
B-25560,"$2,334",$484,3,Furniture,Sofas,Credit Card,7/13/2023,Andrew Allen,California,San Diego,2023-07,2023
B-26076,"$2,750","$1,239",11,Electronics,Phones,Debit Card,3/10/2025,Vanessa Bauer,New York,Buffalo,2025-03,2025
B-26076,"$2,750","$1,239",11,Electronics,Phones,Debit Card,9/24/2024,Sean Smith,Ohio,Cleveland,2024-09,2024
B-26076,"$8,639","$3,104",19,Office Supplies,Pens,EMI,3/10/2025,Vanessa Bauer,New York,Buffalo,2025-03,2025
B-26076,"$8,639","$3,104",19,Office Supplies,Pens,EMI,9/24/2024,Sean Smith,Ohio,Cleveland,2024-09,2024
B-25872,"$3,808","$1,192",4,Office Supplies,Markers,UPI,4/13/2020,Shelly Sweeney,New York,New York City,2020-04,2020
B-25872,"$2,588",$705,16,Office Supplies,Pens,Credit Card,4/13/2020,Shelly Sweeney,New York,New York City,2020-04,2020
B-26185,"$1,591",$727,5,Electronics,Electronic Games,Credit Card,6/27/2022,Emily Gill,Illinois,Springfield,2022-06,2022
B-26185,"$1,591",$727,5,Electronics,Electronic Games,Credit Card,3/14/2021,Brian Patrick,Florida,Tampa,2021-03,2021
B-26185,"$1,591",$727,5,Electronics,Electronic Games,Credit Card,2/23/2022,Dr. Sarah Booth,Ohio,Cincinnati,2022-02,2022
B-26259,"$1,757",$622,10,Furniture,Chairs,UPI,3/29/2022,Douglas Mcfarland,Ohio,Cleveland,2022-03,2022
B-26259,"$1,757",$622,10,Furniture,Chairs,UPI,11/20/2022,Kayla Ross,Illinois,Peoria,2022-11,2022
B-25142,"$6,940",$253,15,Furniture,Bookcases,Debit Card,11/12/2021,Marc Strickland,Florida,Orlando,2021-11,2021
B-25142,"$5,105",$465,5,Electronics,Printers,UPI,11/12/2021,Marc Strickland,Florida,Orlando,2021-11,2021
B-25326,"$5,578",$277,16,Furniture,Tables,COD,8/17/2021,Charlene Brown,Florida,Miami,2021-08,2021
B-25326,"$5,578",$277,16,Furniture,Tables,COD,5/16/2022,Charles Smith,Ohio,Columbus,2022-05,2022
B-26795,"$5,224","$1,958",16,Furniture,Chairs,Credit Card,7/16/2023,Karen Townsend,Texas,Houston,2023-07,2023
B-26795,"$5,002","$1,801",11,Office Supplies,Markers,Credit Card,7/16/2023,Karen Townsend,Texas,Houston,2023-07,2023
B-26795,"$7,380","$1,673",18,Office Supplies,Markers,COD,7/16/2023,Karen Townsend,Texas,Houston,2023-07,2023
B-25660,"$7,595","$2,873",4,Furniture,Chairs,Debit Card,8/18/2020,Steven Cox,California,Los Angeles,2020-08,2020
B-25660,"$7,595","$2,873",4,Furniture,Chairs,Debit Card,4/19/2022,Cynthia Rodriguez,New York,Rochester,2022-04,2022
B-25410,"$1,954",$294,7,Furniture,Sofas,Debit Card,12/23/2022,Jessica Baker,Texas,Austin,2022-12,2022
B-25690,$523,$95,20,Electronics,Printers,EMI,12/7/2024,Mark Blackburn,Texas,Dallas,2024-12,2024
B-26464,"$5,704",$714,13,Electronics,Laptops,EMI,2/3/2022,Zachary Perez,Texas,Austin,2022-02,2022
B-26464,"$5,704",$714,13,Electronics,Laptops,EMI,12/12/2021,Brian Green,California,San Diego,2021-12,2021
B-26464,"$8,797","$1,010",8,Furniture,Tables,UPI,2/3/2022,Zachary Perez,Texas,Austin,2022-02,2022
B-26464,"$8,797","$1,010",8,Furniture,Tables,UPI,12/12/2021,Brian Green,California,San Diego,2021-12,2021
B-26464,"$9,236","$2,899",5,Electronics,Laptops,Debit Card,2/3/2022,Zachary Perez,Texas,Austin,2022-02,2022
B-26464,"$9,236","$2,899",5,Electronics,Laptops,Debit Card,12/12/2021,Brian Green,California,San Diego,2021-12,2021
B-26454,"$9,109",$586,17,Furniture,Sofas,EMI,5/17/2020,Becky Leach,Florida,Miami,2020-05,2020
B-26742,"$4,358",$526,19,Electronics,Phones,Credit Card,12/5/2022,Bryan Russell,Texas,Dallas,2022-12,2022
B-26742,"$4,358",$526,19,Electronics,Phones,Credit Card,9/17/2024,Tony Maddox,California,San Francisco,2024-09,2024
B-26742,"$6,459",$825,8,Electronics,Phones,Credit Card,12/5/2022,Bryan Russell,Texas,Dallas,2022-12,2022
B-26742,"$6,459",$825,8,Electronics,Phones,Credit Card,9/17/2024,Tony Maddox,California,San Francisco,2024-09,2024
B-25510,"$2,478",$92,12,Furniture,Bookcases,COD,5/8/2023,Jason Randolph,California,San Francisco,2023-05,2023
B-25510,"$2,478",$92,12,Furniture,Bookcases,COD,3/3/2021,Laura Andrews,New York,New York City,2021-03,2021
B-25510,"$2,478",$92,12,Furniture,Bookcases,COD,3/18/2021,Mrs. Stephanie Hooper,California,San Francisco,2021-03,2021
B-25510,"$2,478",$92,12,Furniture,Bookcases,COD,4/24/2023,Anthony Evans,Ohio,Cleveland,2023-04,2023
B-25936,"$9,992","$3,696",20,Office Supplies,Pens,Debit Card,10/9/2021,Patrick Williams,New York,Rochester,2021-10,2021
B-25936,"$9,992","$3,696",20,Office Supplies,Pens,Debit Card,4/15/2022,Susan Burke,Texas,Austin,2022-04,2022
B-25936,"$9,992","$3,696",20,Office Supplies,Pens,Debit Card,8/29/2022,Brent Hernandez,New York,Rochester,2022-08,2022
B-25936,"$9,619","$3,420",7,Office Supplies,Binders,UPI,10/9/2021,Patrick Williams,New York,Rochester,2021-10,2021
B-25936,"$9,619","$3,420",7,Office Supplies,Binders,UPI,4/15/2022,Susan Burke,Texas,Austin,2022-04,2022
B-25936,"$9,619","$3,420",7,Office Supplies,Binders,UPI,8/29/2022,Brent Hernandez,New York,Rochester,2022-08,2022
B-25884,"$9,538","$3,158",20,Electronics,Printers,Credit Card,9/4/2024,Sean Elliott,California,San Francisco,2024-09,2024
B-25884,"$9,538","$3,158",20,Electronics,Printers,Credit Card,5/18/2021,Wanda West,Ohio,Cleveland,2021-05,2021
B-25884,"$9,035","$1,227",14,Furniture,Chairs,EMI,9/4/2024,Sean Elliott,California,San Francisco,2024-09,2024
B-25884,"$9,035","$1,227",14,Furniture,Chairs,EMI,5/18/2021,Wanda West,Ohio,Cleveland,2021-05,2021
B-26287,"$2,684",$670,2,Office Supplies,Paper,COD,7/2/2024,Renee Solomon,Florida,Tampa,2024-07,2024
B-26287,$822,$147,5,Furniture,Sofas,Credit Card,7/2/2024,Renee Solomon,Florida,Tampa,2024-07,2024
B-26287,"$9,730","$2,341",2,Furniture,Chairs,EMI,7/2/2024,Renee Solomon,Florida,Tampa,2024-07,2024
B-26287,"$2,483",$236,2,Electronics,Electronic Games,COD,7/2/2024,Renee Solomon,Florida,Tampa,2024-07,2024
B-26564,"$1,297",$600,7,Office Supplies,Binders,Credit Card,2/16/2024,Daryl Miles,Florida,Orlando,2024-02,2024
B-26564,"$7,909","$1,942",19,Electronics,Phones,COD,2/16/2024,Daryl Miles,Florida,Orlando,2024-02,2024
B-26293,"$9,768","$4,518",8,Furniture,Tables,Credit Card,11/26/2021,Michael Hunt,Texas,Dallas,2021-11,2021
B-26293,"$4,968",$934,5,Furniture,Sofas,Debit Card,11/26/2021,Michael Hunt,Texas,Dallas,2021-11,2021
B-26293,"$1,731",$149,4,Electronics,Laptops,EMI,11/26/2021,Michael Hunt,Texas,Dallas,2021-11,2021
B-25915,"$3,433","$1,169",10,Office Supplies,Binders,COD,2/1/2024,Adam Clark,California,San Francisco,2024-02,2024
B-25915,"$3,433","$1,169",10,Office Supplies,Binders,COD,9/9/2021,Amy Olsen,Illinois,Springfield,2021-09,2021
B-25915,"$3,433","$1,169",10,Office Supplies,Binders,COD,9/8/2021,Stacey Miller,California,San Diego,2021-09,2021
B-25915,"$3,887","$1,490",1,Office Supplies,Binders,Debit Card,2/1/2024,Adam Clark,California,San Francisco,2024-02,2024
B-25915,"$3,887","$1,490",1,Office Supplies,Binders,Debit Card,9/9/2021,Amy Olsen,Illinois,Springfield,2021-09,2021
B-25915,"$3,887","$1,490",1,Office Supplies,Binders,Debit Card,9/8/2021,Stacey Miller,California,San Diego,2021-09,2021
B-26496,"$1,801",$641,20,Office Supplies,Markers,Credit Card,7/9/2024,Daniel Mosley,California,Los Angeles,2024-07,2024
B-26496,"$5,301",$817,10,Furniture,Tables,Debit Card,7/9/2024,Daniel Mosley,California,Los Angeles,2024-07,2024
B-26496,"$1,166",$520,12,Office Supplies,Paper,Debit Card,7/9/2024,Daniel Mosley,California,Los Angeles,2024-07,2024
B-26496,"$3,196","$1,411",15,Office Supplies,Paper,Debit Card,7/9/2024,Daniel Mosley,California,Los Angeles,2024-07,2024
B-25856,"$3,428",$350,1,Furniture,Chairs,Credit Card,2/28/2023,Monica Gibson,Illinois,Springfield,2023-02,2023
B-25856,"$7,223","$2,433",12,Office Supplies,Binders,Credit Card,2/28/2023,Monica Gibson,Illinois,Springfield,2023-02,2023
B-25856,"$3,731",$647,1,Office Supplies,Pens,Credit Card,2/28/2023,Monica Gibson,Illinois,Springfield,2023-02,2023
B-26899,"$8,903","$4,401",18,Office Supplies,Pens,Credit Card,8/8/2022,Christopher Jordan,Ohio,Columbus,2022-08,2022
B-25916,"$6,009","$2,107",7,Electronics,Phones,UPI,12/7/2022,Christina Davis,Illinois,Chicago,2022-12,2022
B-25916,"$6,009","$2,107",7,Electronics,Phones,UPI,4/29/2024,Claudia Curry,Texas,Austin,2024-04,2024
B-25916,"$2,858",$230,3,Furniture,Tables,Credit Card,12/7/2022,Christina Davis,Illinois,Chicago,2022-12,2022
B-25916,"$2,858",$230,3,Furniture,Tables,Credit Card,4/29/2024,Claudia Curry,Texas,Austin,2024-04,2024
B-25916,"$8,175",$525,7,Furniture,Sofas,Credit Card,12/7/2022,Christina Davis,Illinois,Chicago,2022-12,2022
B-25916,"$8,175",$525,7,Furniture,Sofas,Credit Card,4/29/2024,Claudia Curry,Texas,Austin,2024-04,2024
B-25916,"$5,846",$586,18,Furniture,Sofas,UPI,12/7/2022,Christina Davis,Illinois,Chicago,2022-12,2022
B-25916,"$5,846",$586,18,Furniture,Sofas,UPI,4/29/2024,Claudia Curry,Texas,Austin,2024-04,2024
B-26428,$706,$197,11,Electronics,Laptops,Credit Card,1/2/2022,Brandon Anderson,Texas,Austin,2022-01,2022
B-26332,"$9,835","$2,571",16,Furniture,Tables,COD,6/10/2022,George Foster,Texas,Dallas,2022-06,2022
B-26332,"$9,835","$2,571",16,Furniture,Tables,COD,11/16/2021,Nicholas Anderson,Florida,Orlando,2021-11,2021
B-26332,"$9,835","$2,571",16,Furniture,Tables,COD,8/17/2022,Emily Ellison,California,Los Angeles,2022-08,2022
B-26332,"$9,691","$3,056",13,Office Supplies,Markers,Credit Card,6/10/2022,George Foster,Texas,Dallas,2022-06,2022
B-26332,"$9,691","$3,056",13,Office Supplies,Markers,Credit Card,11/16/2021,Nicholas Anderson,Florida,Orlando,2021-11,2021
B-26332,"$9,691","$3,056",13,Office Supplies,Markers,Credit Card,8/17/2022,Emily Ellison,California,Los Angeles,2022-08,2022
B-26332,"$7,826","$1,221",14,Furniture,Bookcases,UPI,6/10/2022,George Foster,Texas,Dallas,2022-06,2022
B-26332,"$7,826","$1,221",14,Furniture,Bookcases,UPI,11/16/2021,Nicholas Anderson,Florida,Orlando,2021-11,2021
B-26332,"$7,826","$1,221",14,Furniture,Bookcases,UPI,8/17/2022,Emily Ellison,California,Los Angeles,2022-08,2022
B-25303,$770,$241,11,Furniture,Sofas,COD,11/23/2021,Darren Perez,Texas,Austin,2021-11,2021
B-25303,$770,$241,11,Furniture,Sofas,COD,3/4/2023,Michelle Hunter,Ohio,Cincinnati,2023-03,2023
B-26507,"$9,895","$1,598",20,Furniture,Bookcases,COD,12/16/2023,Janet Guerrero,New York,Rochester,2023-12,2023
B-25983,"$6,517","$1,581",10,Office Supplies,Paper,Debit Card,5/19/2024,Jeffrey Kline,Florida,Miami,2024-05,2024
B-25983,"$6,517","$1,581",10,Office Supplies,Paper,Debit Card,5/14/2020,Ryan Bullock,Florida,Tampa,2020-05,2020
B-25983,"$1,166",$349,11,Furniture,Tables,Credit Card,5/19/2024,Jeffrey Kline,Florida,Miami,2024-05,2024
B-25983,"$1,166",$349,11,Furniture,Tables,Credit Card,5/14/2020,Ryan Bullock,Florida,Tampa,2020-05,2020
B-25156,"$9,820",$793,16,Furniture,Chairs,Credit Card,8/29/2021,Tom Lawson,New York,Buffalo,2021-08,2021
B-26759,"$8,563","$2,624",8,Office Supplies,Binders,COD,11/10/2024,Rebecca Smith,Texas,Dallas,2024-11,2024
B-26759,"$4,441",$281,20,Electronics,Printers,COD,11/10/2024,Rebecca Smith,Texas,Dallas,2024-11,2024
B-26244,"$7,340","$2,271",8,Office Supplies,Paper,EMI,12/5/2021,William Welch,Florida,Orlando,2021-12,2021
B-26244,"$5,442","$1,610",1,Electronics,Phones,EMI,12/5/2021,William Welch,Florida,Orlando,2021-12,2021
B-26365,"$1,895",$391,14,Furniture,Tables,UPI,7/5/2024,Mr. Curtis Bailey,Florida,Tampa,2024-07,2024
B-26365,"$5,323",$322,13,Office Supplies,Binders,COD,7/5/2024,Mr. Curtis Bailey,Florida,Tampa,2024-07,2024
B-26212,"$8,850",$279,13,Office Supplies,Markers,Debit Card,6/25/2024,Janet Carlson,Florida,Miami,2024-06,2024
B-26212,"$8,667","$1,266",6,Office Supplies,Paper,Debit Card,6/25/2024,Janet Carlson,Florida,Miami,2024-06,2024
B-25042,"$6,903",$105,1,Furniture,Tables,COD,5/31/2024,Spencer Spears,Illinois,Chicago,2024-05,2024
B-25042,"$8,793","$3,010",7,Office Supplies,Pens,COD,5/31/2024,Spencer Spears,Illinois,Chicago,2024-05,2024
B-25901,"$9,883","$4,812",16,Office Supplies,Paper,UPI,10/20/2020,Jeffrey Middleton,New York,Buffalo,2020-10,2020
B-25901,"$9,883","$4,812",16,Office Supplies,Paper,UPI,8/11/2022,Veronica Kelley,Florida,Orlando,2022-08,2022
B-25901,"$9,883","$4,812",16,Office Supplies,Paper,UPI,10/17/2021,Leslie Bean,Illinois,Springfield,2021-10,2021
B-25901,"$5,210","$1,185",7,Office Supplies,Paper,UPI,10/20/2020,Jeffrey Middleton,New York,Buffalo,2020-10,2020
B-25901,"$5,210","$1,185",7,Office Supplies,Paper,UPI,8/11/2022,Veronica Kelley,Florida,Orlando,2022-08,2022
B-25901,"$5,210","$1,185",7,Office Supplies,Paper,UPI,10/17/2021,Leslie Bean,Illinois,Springfield,2021-10,2021
B-26747,"$3,574",$851,4,Electronics,Printers,Credit Card,2/23/2022,Amy Wilson,California,Los Angeles,2022-02,2022
B-26747,$576,$76,13,Furniture,Sofas,UPI,2/23/2022,Amy Wilson,California,Los Angeles,2022-02,2022
B-26698,"$1,860",$457,13,Electronics,Printers,EMI,9/20/2023,Susan Ramirez,Ohio,Cleveland,2023-09,2023
B-25841,$782,$374,8,Office Supplies,Pens,EMI,1/19/2021,Jacob Meyer,Illinois,Peoria,2021-01,2021
B-25841,"$4,371","$1,852",1,Electronics,Laptops,UPI,1/19/2021,Jacob Meyer,Illinois,Peoria,2021-01,2021
B-26032,"$8,346","$1,176",1,Electronics,Phones,COD,8/21/2020,Scott Lewis,Texas,Houston,2020-08,2020
B-26032,"$8,346","$1,176",1,Electronics,Phones,COD,4/17/2023,Eric Griffith,Illinois,Chicago,2023-04,2023
B-26032,"$8,346","$1,176",1,Electronics,Phones,COD,12/24/2023,Anna Ferguson,California,San Francisco,2023-12,2023
B-26032,"$6,218","$1,125",5,Furniture,Tables,Debit Card,8/21/2020,Scott Lewis,Texas,Houston,2020-08,2020
B-26032,"$6,218","$1,125",5,Furniture,Tables,Debit Card,4/17/2023,Eric Griffith,Illinois,Chicago,2023-04,2023
B-26032,"$6,218","$1,125",5,Furniture,Tables,Debit Card,12/24/2023,Anna Ferguson,California,San Francisco,2023-12,2023
B-26032,"$5,167",$253,14,Electronics,Printers,Credit Card,8/21/2020,Scott Lewis,Texas,Houston,2020-08,2020
B-26032,"$5,167",$253,14,Electronics,Printers,Credit Card,4/17/2023,Eric Griffith,Illinois,Chicago,2023-04,2023
B-26032,"$5,167",$253,14,Electronics,Printers,Credit Card,12/24/2023,Anna Ferguson,California,San Francisco,2023-12,2023
B-26032,"$2,799","$1,239",5,Furniture,Sofas,Debit Card,8/21/2020,Scott Lewis,Texas,Houston,2020-08,2020
B-26032,"$2,799","$1,239",5,Furniture,Sofas,Debit Card,4/17/2023,Eric Griffith,Illinois,Chicago,2023-04,2023
B-26032,"$2,799","$1,239",5,Furniture,Sofas,Debit Card,12/24/2023,Anna Ferguson,California,San Francisco,2023-12,2023
B-25171,"$3,234","$1,029",20,Office Supplies,Markers,Credit Card,3/20/2022,David Figueroa,Florida,Miami,2022-03,2022
B-26939,"$4,920",$775,12,Furniture,Tables,Debit Card,8/12/2021,Theresa Medina,Illinois,Springfield,2021-08,2021
B-26939,"$9,078","$2,213",15,Furniture,Bookcases,EMI,8/12/2021,Theresa Medina,Illinois,Springfield,2021-08,2021
B-26347,"$8,586","$3,826",7,Furniture,Bookcases,UPI,12/21/2020,Mary Smith,Florida,Miami,2020-12,2020
B-26347,"$8,586","$3,826",7,Furniture,Bookcases,UPI,7/7/2023,Lance Cain,Florida,Tampa,2023-07,2023
